Time,Magnitude
0,1
1e-07,1
2e-07,1
3e-07,1
4e-07,1
5e-07,0
6e-07,0
7e-07,0
8e-07,0
9e-07,0
1e-06,1
1.1e-06,1
1.2e-06,1
1.2999999999999998e-06,1
1.3999999999999997e-06,1
1.4999999999999996e-06,1
1.5999999999999995e-06,0
1.6999999999999994e-06,0
1.7999999999999993e-06,0
1.8999999999999992e-06,0
1.999999999999999e-06,0
2.099999999999999e-06,1
2.199999999999999e-06,1
2.2999999999999987e-06,1
2.3999999999999986e-06,1
2.4999999999999985e-06,1
2.5999999999999984e-06,0
2.6999999999999983e-06,0
2.799999999999998e-06,0
2.899999999999998e-06,0
2.999999999999998e-06,0
3.099999999999998e-06,1
3.1999999999999977e-06,1
3.2999999999999976e-06,1
3.3999999999999975e-06,1
3.4999999999999974e-06,1
3.5999999999999973e-06,0
3.699999999999997e-06,0
3.799999999999997e-06,0
3.899999999999997e-06,0
3.999999999999997e-06,0
4.099999999999997e-06,1
4.199999999999997e-06,1
4.299999999999997e-06,1
4.399999999999997e-06,1
4.499999999999997e-06,1
4.599999999999997e-06,0
4.6999999999999965e-06,0
4.799999999999996e-06,0
4.899999999999996e-06,0
4.999999999999996e-06,0
5.099999999999996e-06,1
5.199999999999996e-06,1
5.299999999999996e-06,1
5.399999999999996e-06,1
5.499999999999996e-06,1
5.5999999999999955e-06,0
5.699999999999995e-06,0
5.799999999999995e-06,0
5.899999999999995e-06,0
5.999999999999995e-06,0
6.099999999999995e-06,1
6.199999999999995e-06,1
6.299999999999995e-06,1
6.399999999999995e-06,1
6.4999999999999945e-06,1
6.599999999999994e-06,0
6.699999999999994e-06,0
6.799999999999994e-06,0
6.899999999999994e-06,0
6.999999999999994e-06,0
7.099999999999994e-06,1
7.199999999999994e-06,1
7.299999999999994e-06,1
7.3999999999999935e-06,1
7.499999999999993e-06,1
7.599999999999993e-06,0
7.699999999999994e-06,0
7.799999999999995e-06,0
7.899999999999996e-06,0
7.999999999999996e-06,0
8.099999999999997e-06,1
8.199999999999998e-06,1
8.299999999999998e-06,1
8.4e-06,1
8.5e-06,1
8.6e-06,0
8.700000000000001e-06,0
8.800000000000002e-06,0
8.900000000000003e-06,0
9.000000000000004e-06,1
9.100000000000004e-06,1
9.200000000000005e-06,1
9.300000000000006e-06,1
9.400000000000007e-06,1
9.500000000000007e-06,0
9.600000000000008e-06,0
9.700000000000009e-06,0
9.80000000000001e-06,0
9.90000000000001e-06,0
1.0000000000000011e-05,1
1.0100000000000012e-05,1
1.0200000000000012e-05,1
1.0300000000000013e-05,1
1.0400000000000014e-05,1
1.0500000000000015e-05,0
1.0600000000000015e-05,0
1.0700000000000016e-05,0
1.0800000000000017e-05,0
1.0900000000000018e-05,0
1.1000000000000018e-05,1
1.1100000000000019e-05,1
1.120000000000002e-05,1
1.130000000000002e-05,1
1.1400000000000021e-05,1
1.1500000000000022e-05,0
1.1600000000000023e-05,0
1.1700000000000024e-05,0
1.1800000000000024e-05,0
1.1900000000000025e-05,0
1.2000000000000026e-05,1
1.2100000000000026e-05,1
1.2200000000000027e-05,1
1.2300000000000028e-05,1
1.2400000000000029e-05,1
1.250000000000003e-05,0
1.260000000000003e-05,0
1.2700000000000031e-05,0
1.2800000000000032e-05,0
1.2900000000000032e-05,0
1.3000000000000033e-05,1
1.3100000000000034e-05,1
1.3200000000000035e-05,1
1.3300000000000035e-05,1
1.3400000000000036e-05,1
1.3500000000000037e-05,0
1.3600000000000038e-05,0
1.3700000000000038e-05,0
1.3800000000000039e-05,0
1.390000000000004e-05,0
1.400000000000004e-05,1
1.4100000000000041e-05,1
1.4200000000000042e-05,1
1.4300000000000043e-05,1
1.4400000000000043e-05,1
1.4500000000000044e-05,0
1.4600000000000045e-05,0
1.4700000000000046e-05,0
1.4800000000000046e-05,0
1.4900000000000047e-05,0
1.5000000000000048e-05,1
1.5100000000000049e-05,1
1.520000000000005e-05,1
1.530000000000005e-05,1
1.540000000000005e-05,1
1.5500000000000048e-05,0
1.5600000000000047e-05,0
1.5700000000000046e-05,0
1.5800000000000045e-05,0
1.5900000000000044e-05,0
1.6000000000000043e-05,1
1.6100000000000042e-05,1
1.620000000000004e-05,1
1.630000000000004e-05,1
1.640000000000004e-05,1
1.650000000000004e-05,0
1.6600000000000038e-05,0
1.6700000000000037e-05,0
1.6800000000000036e-05,0
1.6900000000000035e-05,0
1.7000000000000034e-05,1
1.7100000000000033e-05,1
1.7200000000000032e-05,1
1.730000000000003e-05,1
1.740000000000003e-05,1
1.750000000000003e-05,0
1.7600000000000028e-05,0
1.7700000000000027e-05,0
1.7800000000000026e-05,0
1.7900000000000025e-05,0
1.8000000000000024e-05,1
1.8100000000000023e-05,1
1.8200000000000022e-05,1
1.830000000000002e-05,1
1.840000000000002e-05,1
1.850000000000002e-05,0
1.860000000000002e-05,0
1.8700000000000017e-05,0
1.8800000000000017e-05,0
1.8900000000000016e-05,0
1.9000000000000015e-05,1
1.9100000000000014e-05,1
1.9200000000000013e-05,1
1.9300000000000012e-05,1
1.940000000000001e-05,1
1.950000000000001e-05,0
1.960000000000001e-05,0
1.9700000000000008e-05,0
1.9800000000000007e-05,0
1.9900000000000006e-05,0
2.0000000000000005e-05,1
2.0100000000000004e-05,1
2.0200000000000003e-05,1
2.0300000000000002e-05,1
2.04e-05,1
2.05e-05,0
2.06e-05,0
2.07e-05,0
2.0799999999999997e-05,0
2.0899999999999996e-05,0
2.0999999999999995e-05,1
2.1099999999999994e-05,1
2.1199999999999994e-05,1
2.1299999999999993e-05,1
2.139999999999999e-05,1
2.149999999999999e-05,0
2.159999999999999e-05,0
2.169999999999999e-05,0
2.1799999999999988e-05,0
2.1899999999999987e-05,0
2.1999999999999986e-05,1
2.2099999999999985e-05,1
2.2199999999999984e-05,1
2.2299999999999983e-05,1
2.2399999999999982e-05,1
2.249999999999998e-05,1
2.259999999999998e-05,0
2.269999999999998e-05,0
2.2799999999999978e-05,0
2.2899999999999977e-05,0
2.2999999999999976e-05,0
2.3099999999999975e-05,1
2.3199999999999974e-05,1
2.3299999999999973e-05,1
2.3399999999999972e-05,1
2.349999999999997e-05,1
2.359999999999997e-05,0
2.369999999999997e-05,0
2.379999999999997e-05,0
2.3899999999999968e-05,0
2.3999999999999967e-05,0
2.4099999999999966e-05,1
2.4199999999999965e-05,1
2.4299999999999964e-05,1
2.4399999999999963e-05,1
2.4499999999999962e-05,1
2.459999999999996e-05,0
2.469999999999996e-05,0
2.479999999999996e-05,0
2.4899999999999958e-05,0
2.4999999999999957e-05,0
2.5099999999999956e-05,1
2.5199999999999955e-05,1
2.5299999999999954e-05,1
2.5399999999999953e-05,1
2.5499999999999952e-05,1
2.559999999999995e-05,0
2.569999999999995e-05,0
2.579999999999995e-05,0
2.589999999999995e-05,0
2.5999999999999948e-05,0
2.6099999999999947e-05,1
2.6199999999999946e-05,1
2.6299999999999945e-05,1
2.6399999999999944e-05,1
2.6499999999999943e-05,1
2.6599999999999942e-05,0
2.669999999999994e-05,0
2.679999999999994e-05,0
2.689999999999994e-05,0
2.6999999999999938e-05,0
2.7099999999999937e-05,1
2.7199999999999936e-05,1
2.7299999999999935e-05,1
2.7399999999999934e-05,1
2.7499999999999933e-05,1
2.7599999999999932e-05,0
2.769999999999993e-05,0
2.779999999999993e-05,0
2.789999999999993e-05,0
2.799999999999993e-05,0
2.8099999999999927e-05,1
2.8199999999999927e-05,1
2.8299999999999926e-05,1
2.8399999999999925e-05,1
2.8499999999999924e-05,1
2.8599999999999923e-05,0
2.8699999999999922e-05,0
2.879999999999992e-05,0
2.889999999999992e-05,0
2.899999999999992e-05,0
2.9099999999999918e-05,1
2.9199999999999917e-05,1
2.9299999999999916e-05,1
2.9399999999999915e-05,1
2.9499999999999914e-05,1
2.9599999999999913e-05,0
2.9699999999999912e-05,0
2.979999999999991e-05,0
2.989999999999991e-05,0
2.999999999999991e-05,0
3.009999999999991e-05,1
3.0199999999999907e-05,1
3.0299999999999906e-05,1
3.0399999999999905e-05,1
3.0499999999999904e-05,1
3.0599999999999904e-05,0
3.0699999999999906e-05,0
3.079999999999991e-05,0
3.089999999999991e-05,0
3.099999999999991e-05,0
3.1099999999999916e-05,1
3.119999999999992e-05,1
3.129999999999992e-05,1
3.139999999999992e-05,1
3.1499999999999925e-05,1
3.159999999999993e-05,0
3.169999999999993e-05,0
3.179999999999993e-05,0
3.1899999999999935e-05,0
3.199999999999994e-05,0
3.209999999999994e-05,1
3.219999999999994e-05,1
3.2299999999999945e-05,1
3.239999999999995e-05,1
3.249999999999995e-05,1
3.259999999999995e-05,0
3.2699999999999955e-05,0
3.279999999999996e-05,0
3.289999999999996e-05,0
3.299999999999996e-05,1
3.3099999999999964e-05,1
3.319999999999997e-05,1
3.329999999999997e-05,1
3.339999999999997e-05,1
3.3499999999999974e-05,0
3.3599999999999976e-05,0
3.369999999999998e-05,0
3.379999999999998e-05,0
3.3899999999999984e-05,0
3.3999999999999986e-05,1
3.409999999999999e-05,1
3.419999999999999e-05,1
3.4299999999999993e-05,1
3.4399999999999996e-05,1
3.45e-05,0
3.46e-05,0
3.47e-05,0
3.4800000000000006e-05,0
3.490000000000001e-05,0
3.500000000000001e-05,1
3.510000000000001e-05,1
3.5200000000000015e-05,1
3.530000000000002e-05,1
3.540000000000002e-05,1
3.550000000000002e-05,0
3.5600000000000025e-05,0
3.570000000000003e-05,0
3.580000000000003e-05,0
3.590000000000003e-05,0
3.6000000000000035e-05,1
3.610000000000004e-05,1
3.620000000000004e-05,1
3.630000000000004e-05,1
3.6400000000000045e-05,1
3.650000000000005e-05,0
3.660000000000005e-05,0
3.670000000000005e-05,0
3.6800000000000054e-05,0
3.690000000000006e-05,0
3.700000000000006e-05,1
3.710000000000006e-05,1
3.7200000000000064e-05,1
3.7300000000000066e-05,1
3.740000000000007e-05,1
3.750000000000007e-05,0
3.7600000000000074e-05,0
3.7700000000000076e-05,0
3.780000000000008e-05,0
3.790000000000008e-05,0
3.8000000000000083e-05,1
3.8100000000000086e-05,1
3.820000000000009e-05,1
3.830000000000009e-05,1
3.840000000000009e-05,1
3.8500000000000096e-05,0
3.86000000000001e-05,0
3.87000000000001e-05,0
3.88000000000001e-05,0
3.8900000000000105e-05,0
3.900000000000011e-05,1
3.910000000000011e-05,1
3.920000000000011e-05,1
3.9300000000000115e-05,1
3.940000000000012e-05,1
3.950000000000012e-05,0
3.960000000000012e-05,0
3.9700000000000125e-05,0
3.980000000000013e-05,0
3.990000000000013e-05,0
4.000000000000013e-05,1
4.0100000000000134e-05,1
4.020000000000014e-05,1
4.030000000000014e-05,1
4.040000000000014e-05,1
4.0500000000000144e-05,0
4.0600000000000147e-05,0
4.070000000000015e-05,0
4.080000000000015e-05,0
4.0900000000000154e-05,0
4.1000000000000156e-05,1
4.110000000000016e-05,1
4.120000000000016e-05,1
4.1300000000000164e-05,1
4.1400000000000166e-05,1
4.150000000000017e-05,0
4.160000000000017e-05,0
4.170000000000017e-05,0
4.1800000000000176e-05,0
4.190000000000018e-05,0
4.200000000000018e-05,1
4.210000000000018e-05,1
4.2200000000000185e-05,1
4.230000000000019e-05,1
4.240000000000019e-05,1
4.250000000000019e-05,0
4.2600000000000195e-05,0
4.27000000000002e-05,0
4.28000000000002e-05,0
4.29000000000002e-05,0
4.3000000000000205e-05,1
4.310000000000021e-05,1
4.320000000000021e-05,1
4.330000000000021e-05,1
4.3400000000000215e-05,1
4.350000000000022e-05,0
4.360000000000022e-05,0
4.370000000000022e-05,0
4.3800000000000224e-05,0
4.390000000000023e-05,0
4.400000000000023e-05,1
4.410000000000023e-05,1
4.4200000000000234e-05,1
4.4300000000000237e-05,1
4.440000000000024e-05,1
4.450000000000024e-05,0
4.4600000000000244e-05,0
4.4700000000000246e-05,0
4.480000000000025e-05,0
4.490000000000025e-05,0
4.5000000000000254e-05,1
4.5100000000000256e-05,1
4.520000000000026e-05,1
4.530000000000026e-05,1
4.540000000000026e-05,1
4.5500000000000266e-05,0
4.560000000000027e-05,0
4.570000000000027e-05,0
4.580000000000027e-05,0
4.5900000000000275e-05,0
4.600000000000028e-05,1
4.610000000000028e-05,1
4.620000000000028e-05,1
4.6300000000000285e-05,1
4.640000000000029e-05,1
4.650000000000029e-05,0
4.660000000000029e-05,0
4.6700000000000295e-05,0
4.68000000000003e-05,0
4.69000000000003e-05,0
4.70000000000003e-05,1
4.7100000000000305e-05,1
4.720000000000031e-05,1
4.730000000000031e-05,1
4.740000000000031e-05,1
4.7500000000000314e-05,0
4.760000000000032e-05,0
4.770000000000032e-05,0
4.780000000000032e-05,0
4.7900000000000324e-05,0
4.8000000000000326e-05,1
4.810000000000033e-05,1
4.820000000000033e-05,1
4.8300000000000334e-05,1
4.8400000000000336e-05,1
4.850000000000034e-05,0
4.860000000000034e-05,0
4.8700000000000343e-05,0
4.8800000000000346e-05,0
4.890000000000035e-05,0
4.900000000000035e-05,1
4.910000000000035e-05,1
4.9200000000000356e-05,1
4.930000000000036e-05,1
4.940000000000036e-05,1
4.950000000000036e-05,0
4.9600000000000365e-05,0
4.970000000000037e-05,0
4.980000000000037e-05,0
4.990000000000037e-05,0
5.0000000000000375e-05,1
5.010000000000038e-05,1
5.020000000000038e-05,1
5.030000000000038e-05,1
5.0400000000000385e-05,1
5.050000000000039e-05,0
